timestamp_ms,drop_number,target_interval_ms,actual_interval_ms
4039,2,1000,1042
5082,3,1000,1043
6126,4,1000,1044
7170,5,1000,1044
8214,6,1000,1044
9257,7,1000,1043
10301,8,1000,1044
11345,9,1000,1044
12389,10,1000,1044
13433,11,1000,1044
14477,12,1000,1044
15521,13,1000,1044
16566,14,1000,1045
17611,15,1000,1045
18656,16,1000,1045
19702,17,1000,1046
20747,18,1000,1045
21792,19,1000,1045
22837,20,1000,1045
23883,21,1000,1046
24929,22,1000,1046
25974,23,1000,1045
27020,24,1000,1046
28066,25,1000,1046
29111,26,1000,1045
30157,27,1000,1046
31203,28,1000,1046
32249,29,1000,1046
33296,30,1000,1047
34342,31,1000,1046
35389,32,1000,1047
36435,33,1000,1046
37482,34,1000,1047
38528,35,1000,1046
39575,36,1000,1047
40622,37,1000,1047
41669,38,1000,1047
42715,39,1000,1046
43762,40,1000,1047
44808,41,1000,1046
45855,42,1000,1047
46902,43,1000,1047
47950,44,1000,1048
48997,45,1000,1047
50045,46,1000,1048
51092,47,1000,1047
52140,48,1000,1048
53188,49,1000,1048
54237,50,1000,1049
55285,51,1000,1048
56333,52,1000,1048
57381,53,1000,1048
58429,54,1000,1048
59478,55,1000,1049
60527,56,1000,1049
61576,57,1000,1049
62625,58,1000,1049
63674,59,1000,1049
64723,60,1000,1049
65772,61,1000,1049
66821,62,1000,1049
67871,63,1000,1050
68920,64,1000,1049
69970,65,1000,1050
71020,66,1000,1050
72070,67,1000,1050
73122,68,1000,1052
74171,69,1000,1049
75219,70,1000,1048
76268,71,1000,1049
77314,72,1000,1046
78362,73,1000,1048
79410,74,1000,1048
80458,75,1000,1048
81506,76,1000,1048
82554,77,1000,1048
83603,78,1000,1049
84651,79,1000,1048
85699,80,1000,1048
86748,81,1000,1049
87796,82,1000,1048
88844,83,1000,1048
89891,84,1000,1047
90940,85,1000,1049
91988,86,1000,1048
93036,87,1000,1048
94084,88,1000,1048
95133,89,1000,1049
96182,90,1000,1049
97231,91,1000,1049
98280,92,1000,1049
99329,93,1000,1049
100377,94,1000,1048
101426,95,1000,1049
102475,96,1000,1049
103524,97,1000,1049
104573,98,1000,1049
105623,99,1000,1050
106672,100,1000,1049
107722,101,1000,1050
108770,102,1000,1048
109819,103,1000,1049
110868,104,1000,1049
111918,105,1000,1050
112968,106,1000,1050
114017,107,1000,1049
115068,108,1000,1051
116118,109,1000,1050
117167,110,1000,1049
118216,111,1000,1049
119267,112,1000,1051
120317,113,1000,1050
121367,114,1000,1050
122418,115,1000,1051
123467,116,1000,1049
124518,117,1000,1051
125568,118,1000,1050
126618,119,1000,1050
127669,120,1000,1051
128720,121,1000,1051
