session_id,source_type,preset,scenario,split,target_interval_ms,records,seed,generator_version,raw_file
syn_0001,synthetic,slow,stable,train,1500,180,20261822,synthetic_v1,data/synthetic/raw/syn_0001.csv
syn_0002,synthetic,slow,stable,train,1500,180,20262831,synthetic_v1,data/synthetic/raw/syn_0002.csv
syn_0003,synthetic,slow,stable,train,1500,180,20263840,synthetic_v1,data/synthetic/raw/syn_0003.csv
syn_0004,synthetic,slow,stable,train,1500,180,20264849,synthetic_v1,data/synthetic/raw/syn_0004.csv
syn_0005,synthetic,slow,stable,train,1500,180,20265858,synthetic_v1,data/synthetic/raw/syn_0005.csv
syn_0006,synthetic,slow,stable,train,1500,180,20266867,synthetic_v1,data/synthetic/raw/syn_0006.csv
syn_0007,synthetic,slow,stable,train,1500,180,20267876,synthetic_v1,data/synthetic/raw/syn_0007.csv
syn_0008,synthetic,slow,stable,validation,1500,180,20268885,synthetic_v1,data/synthetic/raw/syn_0008.csv
syn_0009,synthetic,slow,stable,test,1500,180,20269894,synthetic_v1,data/synthetic/raw/syn_0009.csv
syn_0010,synthetic,slow,stable,test,1500,180,20270903,synthetic_v1,data/synthetic/raw/syn_0010.csv
syn_0011,synthetic,slow,gradually_slowing,train,1500,180,20271912,synthetic_v1,data/synthetic/raw/syn_0011.csv
syn_0012,synthetic,slow,gradually_slowing,train,1500,180,20272921,synthetic_v1,data/synthetic/raw/syn_0012.csv
syn_0013,synthetic,slow,gradually_slowing,train,1500,180,20273930,synthetic_v1,data/synthetic/raw/syn_0013.csv
syn_0014,synthetic,slow,gradually_slowing,train,1500,180,20274939,synthetic_v1,data/synthetic/raw/syn_0014.csv
syn_0015,synthetic,slow,gradually_slowing,train,1500,180,20275948,synthetic_v1,data/synthetic/raw/syn_0015.csv
syn_0016,synthetic,slow,gradually_slowing,train,1500,180,20276957,synthetic_v1,data/synthetic/raw/syn_0016.csv
