timestamp_ms,drop_number,target_interval_ms,actual_interval_ms
4519,2,750,1073
5593,3,750,1074
6668,4,750,1075
7743,5,750,1075
8815,6,750,1072
9886,7,750,1071
10957,8,750,1071
12027,9,750,1070
13096,10,750,1069
14165,11,750,1069
15230,12,750,1065
16294,13,750,1064
17356,14,750,1062
18417,15,750,1061
19474,16,750,1057
20527,17,750,1053
21577,18,750,1050
22622,19,750,1045
23665,20,750,1043
24703,21,750,1038
25735,22,750,1032
26763,23,750,1028
27789,24,750,1026
28808,25,750,1019
29823,26,750,1015
30835,27,750,1012
31840,28,750,1005
32841,29,750,1001
33838,30,750,997
34831,31,750,993
35820,32,750,989
36806,33,750,986
37785,34,750,979
38758,35,750,973
39727,36,750,969
40692,37,750,965
41652,38,750,960
42607,39,750,955
43556,40,750,949
44500,41,750,944
45438,42,750,938
46371,43,750,933
47298,44,750,927
48217,45,750,919
49129,46,750,912
50036,47,750,907
50938,48,750,902
51835,49,750,897
52727,50,750,892
53613,51,750,886
54495,52,750,882
55373,53,750,878
56246,54,750,873
57113,55,750,867
57974,56,750,861
58831,57,750,857
59681,58,750,850
60524,59,750,843
61360,60,750,836
62191,61,750,831
63019,62,750,828
63844,63,750,825
64665,64,750,821
65479,65,750,814
66291,66,750,812
67098,67,750,807
67901,68,750,803
68701,69,750,800
69495,70,750,794
70286,71,750,791
71071,72,750,785
71852,73,750,781
72630,74,750,778
73406,75,750,776
74177,76,750,771
74946,77,750,769
75712,78,750,766
76475,79,750,763
77235,80,750,760
77992,81,750,757
78748,82,750,756
79503,83,750,755
80257,84,750,754
81009,85,750,752
81760,86,750,751
82510,87,750,750
83258,88,750,748
84003,89,750,745
84750,90,750,747
85498,91,750,748
86247,92,750,749
86992,93,750,745
87738,94,750,746
88488,95,750,750
89238,96,750,750
89988,97,750,750
90739,98,750,751
91491,99,750,752
92241,100,750,750
92991,101,750,750
93742,102,750,751
94492,103,750,750
95243,104,750,751
95995,105,750,752
96747,106,750,752
97499,107,750,752
98250,108,750,751
99000,109,750,750
99749,110,750,749
100497,111,750,748
101244,112,750,747
101990,113,750,746
102737,114,750,747
103484,115,750,747
104232,116,750,748
104982,117,750,750
105731,118,750,749
106479,119,750,748
107228,120,750,749
107977,121,750,749
108729,122,750,752
109479,123,750,750
110231,124,750,752
110979,125,750,748
111727,126,750,748
112474,127,750,747
113220,128,750,746
113967,129,750,747
114715,130,750,748
115463,131,750,748
116214,132,750,751
116962,133,750,748
117708,134,750,746
118456,135,750,748
119204,136,750,748
119952,137,750,748
120699,138,750,747
121445,139,750,746
122194,140,750,749
122942,141,750,748
123692,142,750,750
124442,143,750,750
125191,144,750,749
125941,145,750,750
126690,146,750,749
127439,147,750,749
128188,148,750,749
128936,149,750,748
129683,150,750,747
130432,151,750,749
131179,152,750,747
131927,153,750,748
132676,154,750,749
133426,155,750,750
134174,156,750,748
134921,157,750,747
135670,158,750,749
136421,159,750,751
137170,160,750,749
137917,161,750,747
138662,162,750,745
139407,163,750,745
140154,164,750,747
140903,165,750,749
141653,166,750,750
142400,167,750,747
143147,168,750,747
143893,169,750,746
144643,170,750,750
145394,171,750,751
146142,172,750,748
146891,173,750,749
147640,174,750,749
148389,175,750,749
149140,176,750,751
149891,177,750,751
150642,178,750,751
151392,179,750,750
152144,180,750,752
152895,181,750,751
