session_id,source_type,preset,scenario,split,timestamp_ms,drop_number,target_interval_ms,actual_interval_ms
syn_0001,synthetic,slow,stable,train,3551,2,1500,1528
syn_0001,synthetic,slow,stable,train,5078,3,1500,1527
syn_0001,synthetic,slow,stable,train,6605,4,1500,1527
syn_0001,synthetic,slow,stable,train,8133,5,1500,1528
syn_0001,synthetic,slow,stable,train,9660,6,1500,1527
syn_0001,synthetic,slow,stable,train,11187,7,1500,1527
syn_0001,synthetic,slow,stable,train,12715,8,1500,1528
syn_0001,synthetic,slow,stable,train,14242,9,1500,1527
syn_0001,synthetic,slow,stable,train,15770,10,1500,1528
syn_0001,synthetic,slow,stable,train,17293,11,1500,1523
syn_0001,synthetic,slow,stable,train,18824,12,1500,1531
syn_0001,synthetic,slow,stable,train,20356,13,1500,1532
syn_0001,synthetic,slow,stable,train,21888,14,1500,1532
syn_0001,synthetic,slow,stable,train,23423,15,1500,1535
syn_0001,synthetic,slow,stable,train,24956,16,1500,1533
syn_0001,synthetic,slow,stable,train,26490,17,1500,1534
syn_0001,synthetic,slow,stable,train,28027,18,1500,1537
syn_0001,synthetic,slow,stable,train,29558,19,1500,1531
syn_0001,synthetic,slow,stable,train,31085,20,1500,1527
syn_0001,synthetic,slow,stable,train,32609,21,1500,1524
syn_0001,synthetic,slow,stable,train,34134,22,1500,1525
syn_0001,synthetic,slow,stable,train,35663,23,1500,1529
syn_0001,synthetic,slow,stable,train,37192,24,1500,1529
syn_0001,synthetic,slow,stable,train,38721,25,1500,1529
syn_0001,synthetic,slow,stable,train,40247,26,1500,1526
syn_0001,synthetic,slow,stable,train,41778,27,1500,1531
syn_0001,synthetic,slow,stable,train,43310,28,1500,1532
syn_0001,synthetic,slow,stable,train,44838,29,1500,1528
syn_0001,synthetic,slow,stable,train,46368,30,1500,1530
syn_0001,synthetic,slow,stable,train,47895,31,1500,1527
syn_0001,synthetic,slow,stable,train,49425,32,1500,1530
syn_0001,synthetic,slow,stable,train,50950,33,1500,1525
syn_0001,synthetic,slow,stable,train,52477,34,1500,1527
syn_0001,synthetic,slow,stable,train,54003,35,1500,1526
syn_0001,synthetic,slow,stable,train,55537,36,1500,1534
syn_0001,synthetic,slow,stable,train,57072,37,1500,1535
syn_0001,synthetic,slow,stable,train,58605,38,1500,1533
syn_0001,synthetic,slow,stable,train,60134,39,1500,1529
syn_0001,synthetic,slow,stable,train,61664,40,1500,1530
syn_0001,synthetic,slow,stable,train,63197,41,1500,1533
syn_0001,synthetic,slow,stable,train,64726,42,1500,1529
syn_0001,synthetic,slow,stable,train,66256,43,1500,1530
syn_0001,synthetic,slow,stable,train,67788,44,1500,1532
syn_0001,synthetic,slow,stable,train,69320,45,1500,1532
syn_0001,synthetic,slow,stable,train,70852,46,1500,1532
syn_0001,synthetic,slow,stable,train,72383,47,1500,1531
syn_0001,synthetic,slow,stable,train,73913,48,1500,1530
syn_0001,synthetic,slow,stable,train,75443,49,1500,1530
syn_0001,synthetic,slow,stable,train,76970,50,1500,1527
syn_0001,synthetic,slow,stable,train,78498,51,1500,1528
syn_0001,synthetic,slow,stable,train,80025,52,1500,1527
syn_0001,synthetic,slow,stable,train,81553,53,1500,1528
syn_0001,synthetic,slow,stable,train,83085,54,1500,1532
syn_0001,synthetic,slow,stable,train,84617,55,1500,1532
syn_0001,synthetic,slow,stable,train,86148,56,1500,1531
syn_0001,synthetic,slow,stable,train,87679,57,1500,1531
syn_0001,synthetic,slow,stable,train,89213,58,1500,1534
syn_0001,synthetic,slow,stable,train,90746,59,1500,1533
syn_0001,synthetic,slow,stable,train,92281,60,1500,1535
syn_0001,synthetic,slow,stable,train,93812,61,1500,1531
syn_0001,synthetic,slow,stable,train,95338,62,1500,1526
