timestamp_ms,drop_number,target_interval_ms,actual_interval_ms
4404,2,1000,1216
5619,3,1000,1215
6836,4,1000,1217
8052,5,1000,1216
9268,6,1000,1216
10484,7,1000,1216
11701,8,1000,1217
12917,9,1000,1216
14134,10,1000,1217
15351,11,1000,1217
16568,12,1000,1217
17785,13,1000,1217
19003,14,1000,1218
20220,15,1000,1217
21434,16,1000,1214
22612,17,1000,1178
23819,18,1000,1207
25123,19,1000,1304
26444,20,1000,1321
27669,21,1000,1225
28955,22,1000,1286
30328,23,1000,1373
31446,24,1000,1118
32579,25,1000,1133
33705,26,1000,1126
34870,27,1000,1165
36207,28,1000,1337
37224,29,1000,1017
38239,30,1000,1015
39243,31,1000,1004
40252,32,1000,1009
41238,33,1000,986
42230,34,1000,992
43230,35,1000,1000
44227,36,1000,997
45223,37,1000,996
46219,38,1000,996
47215,39,1000,996
48212,40,1000,997
49209,41,1000,997
50207,42,1000,998
51204,43,1000,997
52201,44,1000,997
53201,45,1000,1000
54199,46,1000,998
55200,47,1000,1001
56200,48,1000,1000
57202,49,1000,1002
58203,50,1000,1001
59207,51,1000,1004
60209,52,1000,1002
61213,53,1000,1004
62218,54,1000,1005
63223,55,1000,1005
64225,56,1000,1002
65232,57,1000,1007
66237,58,1000,1005
67243,59,1000,1006
68252,60,1000,1009
69259,61,1000,1007
70265,62,1000,1006
71274,63,1000,1009
72283,64,1000,1009
73290,65,1000,1007
74299,66,1000,1009
75309,67,1000,1010
76319,68,1000,1010
77328,69,1000,1009
78339,70,1000,1011
79350,71,1000,1011
80361,72,1000,1011
81372,73,1000,1011
82383,74,1000,1011
83393,75,1000,1010
84405,76,1000,1012
85418,77,1000,1013
86430,78,1000,1012
87443,79,1000,1013
88455,80,1000,1012
89468,81,1000,1013
90480,82,1000,1012
91494,83,1000,1014
92506,84,1000,1012
93521,85,1000,1015
94535,86,1000,1014
95549,87,1000,1014
96564,88,1000,1015
97579,89,1000,1015
98594,90,1000,1015
99609,91,1000,1015
100624,92,1000,1015
101640,93,1000,1016
102656,94,1000,1016
103673,95,1000,1017
104690,96,1000,1017
105708,97,1000,1018
106725,98,1000,1017
107745,99,1000,1020
108764,100,1000,1019
109784,101,1000,1020
110804,102,1000,1020
111824,103,1000,1020
112845,104,1000,1021
113866,105,1000,1021
114889,106,1000,1023
115914,107,1000,1025
116939,108,1000,1025
117969,109,1000,1030
119004,110,1000,1035
120032,111,1000,1028
121061,112,1000,1029
122090,113,1000,1029
123117,114,1000,1027
124142,115,1000,1025
125164,116,1000,1022
126186,117,1000,1022
127208,118,1000,1022
128229,119,1000,1021
129250,120,1000,1021
130271,121,1000,1021
131291,122,1000,1020
132312,123,1000,1021
133333,124,1000,1021
134355,125,1000,1022
135376,126,1000,1021
136399,127,1000,1023
137421,128,1000,1022
138443,129,1000,1022
139465,130,1000,1022
140489,131,1000,1024
141511,132,1000,1022
142535,133,1000,1024
143560,134,1000,1025
144585,135,1000,1025
145609,136,1000,1024
146633,137,1000,1024
147658,138,1000,1025
148684,139,1000,1026
149710,140,1000,1026
150737,141,1000,1027
151763,142,1000,1026
152792,143,1000,1029
153821,144,1000,1029
154849,145,1000,1028
155878,146,1000,1029
156906,147,1000,1028
157937,148,1000,1031
158965,149,1000,1028
159996,150,1000,1031
161026,151,1000,1030
