timestamp_ms,drop_number,target_interval_ms,actual_interval_ms
3259,2,1000,1093
4352,3,1000,1093
5444,4,1000,1092
6536,5,1000,1092
7630,6,1000,1094
8722,7,1000,1092
9815,8,1000,1093
10903,9,1000,1088
11986,10,1000,1083
13068,11,1000,1082
14151,12,1000,1083
15233,13,1000,1082
16315,14,1000,1082
17398,15,1000,1083
18480,16,1000,1082
19562,17,1000,1082
20644,18,1000,1082
21726,19,1000,1082
22807,20,1000,1081
23889,21,1000,1082
24971,22,1000,1082
26053,23,1000,1082
27136,24,1000,1083
28217,25,1000,1081
29298,26,1000,1081
30380,27,1000,1082
31462,28,1000,1082
32543,29,1000,1081
33625,30,1000,1082
34707,31,1000,1082
35791,32,1000,1084
36873,33,1000,1082
37956,34,1000,1083
39038,35,1000,1082
40122,36,1000,1084
41204,37,1000,1082
42288,38,1000,1084
43370,39,1000,1082
44453,40,1000,1083
45538,41,1000,1085
46622,42,1000,1084
47706,43,1000,1084
48790,44,1000,1084
49874,45,1000,1084
50949,46,1000,1075
52035,47,1000,1086
53121,48,1000,1086
54205,49,1000,1084
55289,50,1000,1084
56375,51,1000,1086
57460,52,1000,1085
58547,53,1000,1087
59634,54,1000,1087
60721,55,1000,1087
61808,56,1000,1087
62895,57,1000,1087
63984,58,1000,1089
65072,59,1000,1088
66160,60,1000,1088
67249,61,1000,1089
68337,62,1000,1088
69427,63,1000,1090
70515,64,1000,1088
71606,65,1000,1091
72696,66,1000,1090
73787,67,1000,1091
74877,68,1000,1090
75969,69,1000,1092
77061,70,1000,1092
78152,71,1000,1091
79245,72,1000,1093
80337,73,1000,1092
81432,74,1000,1095
82527,75,1000,1095
83620,76,1000,1093
84714,77,1000,1094
85809,78,1000,1095
86905,79,1000,1096
88000,80,1000,1095
89096,81,1000,1096
90193,82,1000,1097
91289,83,1000,1096
92386,84,1000,1097
93382,85,1000,996
95309,86,1000,1927
96374,87,1000,1065
97473,88,1000,1099
98573,89,1000,1100
99674,90,1000,1101
100775,91,1000,1101
101876,92,1000,1101
102977,93,1000,1101
104080,94,1000,1103
105182,95,1000,1102
106273,96,1000,1091
107373,97,1000,1100
108475,98,1000,1102
109578,99,1000,1103
110680,100,1000,1102
111783,101,1000,1103
112887,102,1000,1104
113992,103,1000,1105
115097,104,1000,1105
116202,105,1000,1105
117307,106,1000,1105
118415,107,1000,1108
119521,108,1000,1106
120629,109,1000,1108
121735,110,1000,1106
122842,111,1000,1107
123949,112,1000,1107
125059,113,1000,1110
126167,114,1000,1108
127276,115,1000,1109
128385,116,1000,1109
129496,117,1000,1111
130606,118,1000,1110
131716,119,1000,1110
132827,120,1000,1111
133937,121,1000,1110
