timestamp_ms,drop_number,target_interval_ms,actual_interval_ms
2331,2,750,755
3067,3,750,736
3796,4,750,729
4520,5,750,724
5240,6,750,720
5957,7,750,717
6677,8,750,720
7397,9,750,720
8118,10,750,721
8844,11,750,726
9570,12,750,726
10155,13,750,585
10662,14,750,507
11133,15,750,471
11581,16,750,448
12014,17,750,433
12443,18,750,429
12933,19,750,490
13454,20,750,521
13991,21,750,537
14754,22,750,763
15640,23,750,886
16590,24,750,950
17576,25,750,986
18583,26,750,1007
19461,27,750,878
20266,28,750,805
21028,29,750,762
21763,30,750,735
22489,31,750,726
23205,32,750,716
23919,33,750,714
24679,34,750,760
25461,35,750,782
26256,36,750,795
27063,37,750,807
27876,38,750,813
28692,39,750,816
29441,40,750,749
30155,41,750,714
30848,42,750,693
31531,43,750,683
32273,44,750,742
33047,45,750,774
33837,46,750,790
34608,47,750,771
35365,48,750,757
36115,49,750,750
36860,50,750,745
37607,51,750,747
38332,52,750,725
39048,53,750,716
39757,54,750,709
40528,55,750,771
41329,56,750,801
42151,57,750,822
42985,58,750,834
43789,59,750,804
44578,60,750,789
45355,61,750,777
46130,62,750,775
46904,63,750,774
47670,64,750,766
48431,65,750,761
49184,66,750,753
49938,67,750,754
50694,68,750,756
51448,69,750,754
52202,70,750,754
52950,71,750,748
53656,72,750,706
54339,73,750,683
55014,74,750,675
55685,75,750,671
56348,76,750,663
57003,77,750,655
57659,78,750,656
58210,79,750,551
58699,80,750,489
59156,81,750,457
59599,82,750,443
60032,83,750,433
60649,84,750,617
61364,85,750,715
62135,86,750,771
62936,87,750,801
63761,88,750,825
64595,89,750,834
65440,90,750,845
66289,91,750,849
67098,92,750,809
67891,93,750,793
68670,94,750,779
69443,95,750,773
70188,96,750,745
70912,97,750,724
71624,98,750,712
72332,99,750,708
73036,100,750,704
73741,101,750,705
74450,102,750,709
75190,103,750,740
75951,104,750,761
76723,105,750,772
77505,106,750,782
78294,107,750,789
79085,108,750,791
79879,109,750,794
80667,110,750,788
81467,111,750,800
82276,112,750,809
83089,113,750,813
83906,114,750,817
84720,115,750,814
85538,116,750,818
86356,117,750,818
87173,118,750,817
87921,119,750,748
88628,120,750,707
89312,121,750,684
89987,122,750,675
90651,123,750,664
91307,124,750,656
91960,125,750,653
92612,126,750,652
93293,127,750,681
93985,128,750,692
94689,129,750,704
95397,130,750,708
96105,131,750,708
96806,132,750,701
97495,133,750,689
98179,134,750,684
98876,135,750,697
99581,136,750,705
100287,137,750,706
100999,138,750,712
101717,139,750,718
102436,140,750,719
103158,141,750,722
103934,142,750,776
104735,143,750,801
105555,144,750,820
106383,145,750,828
107212,146,750,829
108041,147,750,829
108814,148,750,773
109555,149,750,741
110279,150,750,724
110991,151,750,712
111701,152,750,710
112387,153,750,686
113067,154,750,680
113737,155,750,670
114405,156,750,668
115072,157,750,667
115747,158,750,675
116428,159,750,681
117108,160,750,680
117790,161,750,682
118478,162,750,688
119166,163,750,688
119855,164,750,689
120559,165,750,704
121267,166,750,708
121974,167,750,707
122681,168,750,707
123384,169,750,703
124115,170,750,731
124860,171,750,745
125610,172,750,750
126368,173,750,758
127128,174,750,760
127895,175,750,767
128675,176,750,780
129465,177,750,790
130259,178,750,794
131053,179,750,794
131854,180,750,801
132654,181,750,800
