timestamp_ms,drop_number,target_interval_ms,actual_interval_ms
30406,2,1000,644
30843,3,1000,437
31198,4,1000,355
31571,5,1000,373
31916,6,1000,345
32284,7,1000,368
32673,8,1000,389
33105,9,1000,432
33676,10,1000,571
34197,11,1000,521
34711,12,1000,514
35206,13,1000,495
35746,14,1000,540
36393,15,1000,647
37056,16,1000,663
37777,17,1000,721
38440,18,1000,663
39059,19,1000,619
39668,20,1000,609
41016,21,1000,1348
41746,22,1000,730
42485,23,1000,739
43132,24,1000,647
43743,25,1000,611
44377,26,1000,634
45005,27,1000,628
45639,28,1000,634
46261,29,1000,622
46884,30,1000,623
47514,31,1000,630
48145,32,1000,631
48781,33,1000,636
49415,34,1000,634
50049,35,1000,634
50686,36,1000,637
51357,37,1000,671
52100,38,1000,743
52873,39,1000,773
53623,40,1000,750
54371,41,1000,748
55200,42,1000,829
56001,43,1000,801
56807,44,1000,806
57691,45,1000,884
58567,46,1000,876
59444,47,1000,877
60307,48,1000,863
61184,49,1000,877
62111,50,1000,927
63096,51,1000,985
64069,52,1000,973
65031,53,1000,962
65993,54,1000,962
66928,55,1000,935
67868,56,1000,940
68803,57,1000,935
69742,58,1000,939
70682,59,1000,940
71621,60,1000,939
72560,61,1000,939
73500,62,1000,940
74439,63,1000,939
75381,64,1000,942
76308,65,1000,927
77238,66,1000,930
78187,67,1000,949
79134,68,1000,947
80080,69,1000,946
81012,70,1000,932
81993,71,1000,981
83069,72,1000,1076
84095,73,1000,1026
85138,74,1000,1043
86213,75,1000,1075
87295,76,1000,1082
88377,77,1000,1082
89466,78,1000,1089
90554,79,1000,1088
91642,80,1000,1088
92774,81,1000,1132
93841,82,1000,1067
94939,83,1000,1098
96072,84,1000,1133
97319,85,1000,1247
98458,86,1000,1139
99518,87,1000,1060
100633,88,1000,1115
101741,89,1000,1108
102842,90,1000,1101
103951,91,1000,1109
105072,92,1000,1121
106646,93,1000,1574
108472,94,1000,1826
109634,95,1000,1162
110767,96,1000,1133
111901,97,1000,1134
113049,98,1000,1148
114218,99,1000,1169
115367,100,1000,1149
116677,101,1000,1310
117923,102,1000,1246
119079,103,1000,1156
120287,104,1000,1208
121522,105,1000,1235
122801,106,1000,1279
123967,107,1000,1166
125193,108,1000,1226
126471,109,1000,1278
127402,110,1000,931
128314,111,1000,912
129205,112,1000,891
130113,113,1000,908
131010,114,1000,897
131914,115,1000,904
132817,116,1000,903
133720,117,1000,903
134618,118,1000,898
135523,119,1000,905
136427,120,1000,904
137331,121,1000,904
138235,122,1000,904
139139,123,1000,904
140043,124,1000,904
140948,125,1000,905
141852,126,1000,904
142758,127,1000,906
143663,128,1000,905
144612,129,1000,949
145589,130,1000,977
146572,131,1000,983
147572,132,1000,1000
148577,133,1000,1005
149590,134,1000,1013
150630,135,1000,1040
151674,136,1000,1044
152731,137,1000,1057
153652,138,1000,921
154557,139,1000,905
155463,140,1000,906
156368,141,1000,905
157275,142,1000,907
158183,143,1000,908
159090,144,1000,907
159998,145,1000,908
160906,146,1000,908
161814,147,1000,908
162724,148,1000,910
163632,149,1000,908
164543,150,1000,911
165453,151,1000,910
