timestamp_ms,drop_number,target_interval_ms,actual_interval_ms
4016,2,750,740
4756,3,750,740
5497,4,750,741
6237,5,750,740
6977,6,750,740
7716,7,750,739
8456,8,750,740
9198,9,750,742
9941,10,750,743
10684,11,750,743
11426,12,750,742
12166,13,750,740
12905,14,750,739
13645,15,750,740
14384,16,750,739
15124,17,750,740
15864,18,750,740
16605,19,750,741
17345,20,750,740
18085,21,750,740
18825,22,750,740
19564,23,750,739
20306,24,750,742
21045,25,750,739
21786,26,750,741
22529,27,750,743
23271,28,750,742
24013,29,750,742
24755,30,750,742
25496,31,750,741
26238,32,750,742
26981,33,750,743
27721,34,750,740
28459,35,750,738
29197,36,750,738
29934,37,750,737
30672,38,750,738
31412,39,750,740
32154,40,750,742
32897,41,750,743
33639,42,750,742
34378,43,750,739
35117,44,750,739
35857,45,750,740
36598,46,750,741
37339,47,750,741
38079,48,750,740
38819,49,750,740
39559,50,750,740
40299,51,750,740
41039,52,750,740
41780,53,750,741
42521,54,750,741
43262,55,750,741
44001,56,750,739
44740,57,750,739
45479,58,750,739
46221,59,750,742
46961,60,750,740
47701,61,750,740
48440,62,750,739
49180,63,750,740
49920,64,750,740
50659,65,750,739
51400,66,750,741
52140,67,750,740
52882,68,750,742
53622,69,750,740
54361,70,750,739
55100,71,750,739
55841,72,750,741
56581,73,750,740
57321,74,750,740
58062,75,750,741
58802,76,750,740
59544,77,750,742
60286,78,750,742
61028,79,750,742
61768,80,750,740
62508,81,750,740
63248,82,750,740
63988,83,750,740
64729,84,750,741
65469,85,750,740
66211,86,750,742
66953,87,750,742
67696,88,750,743
68438,89,750,742
69179,90,750,741
69919,91,750,740
70660,92,750,741
71398,93,750,738
72139,94,750,741
72879,95,750,740
73616,96,750,737
74354,97,750,738
75092,98,750,738
75831,99,750,739
76569,100,750,738
77306,101,750,737
78045,102,750,739
78785,103,750,740
79527,104,750,742
80268,105,750,741
81009,106,750,741
81751,107,750,742
82157,108,750,406
82623,109,750,466
83024,110,750,401
83443,111,750,419
83861,112,750,418
84315,113,750,454
84754,114,750,439
85195,115,750,441
85666,116,750,471
86176,117,750,510
86735,118,750,559
87347,119,750,612
88009,120,750,662
88710,121,750,701
89442,122,750,732
90185,123,750,743
90927,124,750,742
91670,125,750,743
92412,126,750,742
93154,127,750,742
93894,128,750,740
94635,129,750,741
95377,130,750,742
96118,131,750,741
96859,132,750,741
97599,133,750,740
98338,134,750,739
99076,135,750,738
99817,136,750,741
100558,137,750,741
101298,138,750,740
102039,139,750,741
102780,140,750,741
103522,141,750,742
104264,142,750,742
105005,143,750,741
105743,144,750,738
106482,145,750,739
107224,146,750,742
107966,147,750,742
108710,148,750,744
109452,149,750,742
110193,150,750,741
110935,151,750,742
111676,152,750,741
112416,153,750,740
113157,154,750,741
113897,155,750,740
114636,156,750,739
115376,157,750,740
116115,158,750,739
116854,159,750,739
117594,160,750,740
118336,161,750,742
119079,162,750,743
119821,163,750,742
120564,164,750,743
121307,165,750,743
122048,166,750,741
122788,167,750,740
123530,168,750,742
124270,169,750,740
125008,170,750,738
125746,171,750,738
126485,172,750,739
127224,173,750,739
127963,174,750,739
128700,175,750,737
129438,176,750,738
130175,177,750,737
130913,178,750,738
131650,179,750,737
132386,180,750,736
133123,181,750,737
